lnr,forening,name,kommune,year,tonnes,method,lime,nve_nr,utm33_north,utm33_east,lat,lon
109,Begervannets Grl,Begervannet,Birkenes,2020,13.0,Båt,Kalksteinmel,10772,6497572,111932,58.4457,8.34513
110,Begervannets Grl,Begervannet,Birkenes,2021,13.0,Båt,Kalksteinmel,10772,6497572,111932,58.4457,8.34513
97,Begervannets Grl,Begervannet,Birkenes,2022,13.0,Båt,Kalksteinmel,10772,6497572,111932,58.4457,8.34513
131,Vatne-Rett Fiskelag,Bellandstjern,Birkenes,2001,24.0,Båt,Kalksteinmel,10539,6506321,97691,58.5109,8.08755
132,Vatne-Rett Fiskelag,Bellandstjern,Birkenes,2002,18.0,Båt,Kalksteinmel,10539,6506321,97691,58.5109,8.08755
133,Vatne-Rett Fiskelag,Bellandstjern,Birkenes,2003,25.0,Båt,Kalksteinmel,10539,6506321,97691,58.5109,8.08755
134,Vatne-Rett Fiskelag,Bellandstjern,Birkenes,2004,18.0,Båt,Kalksteinmel,10539,6506321,97691,58.5109,8.08755
135,Vatne-Rett Fiskelag,Bellandstjern,Birkenes,2005,15.0,Båt,Kalksteinmel,10539,6506321,97691,58.5109,8.08755
136,Vatne-Rett Fiskelag,Bellandstjern,Birkenes,2013,15.0,Båt,Kalksteinmel,10539,6506321,97691,58.5109,8.08755
137,Vatne-Rett Fiskelag,Bellandstjern,Birkenes,2015,10.0,Båt,Kalksteinmel,10539,6506321,97691,58.5109,8.08755
138,Vatne-Rett Fiskelag,Bellandstjern,Birkenes,2016,10.0,Båt,Kalksteinmel,10539,6506321,97691,58.5109,8.08755
139,Vatne-Rett Fiskelag,Bellandstjern,Birkenes,2019,9.0,Båt,Kalksteinmel,10539,6506321,97691,58.5109,8.08755
140,Vatne-Rett Fiskelag,Bellandstjern,Birkenes,2020,9.0,Båt,Kalksteinmel,10539,6506321,97691,58.5109,8.08755
141,Vatne-Rett Fiskelag,Bellandstjern,Birkenes,2021,9.0,Båt,Kalksteinmel,10539,6506321,97691,58.5109,8.08755
142,Vatne-Rett Fiskelag,Bellandstjern,Birkenes,2022,9.0,Båt,Kalksteinmel,10539,6506321,97691,58.5109,8.08755
213,Bjorvatn Fiskelag,Bjorvatn,Evje og Hornes,2001,23.0,Båt,Kalksteinmel,10217,6514845,87182,58.577,7.89311
214,Bjorvatn Fiskelag,Bjorvatn,Evje og Hornes,2002,20.0,Båt,Kalksteinmel,10217,6514845,87182,58.577,7.89311
215,Bjorvatn Fiskelag,Bjorvatn,Evje og Hornes,2003,15.0,Båt,Kalksteinmel,10217,6514845,87182,58.577,7.89311
216,Bjorvatn Fiskelag,Bjorvatn,Evje og Hornes,2004,15.0,Båt,Kalksteinmel,10217,6514845,87182,58.577,7.89311
217,Bjorvatn Fiskelag,Bjorvatn,Evje og Hornes,2005,15.0,Båt,Kalksteinmel,10217,6514845,87182,58.577,7.89311
218,Bjorvatn Fiskelag,Bjorvatn,Evje og Hornes,2009,15.0,Båt,Kalksteinmel,10217,6514845,87182,58.577,7.89311
219,Bjorvatn Fiskelag,Bjorvatn,Evje og Hornes,2011,15.0,Båt,Kalksteinmel,10217,6514845,87182,58.577,7.89311
220,Bjorvatn Fiskelag,Bjorvatn,Evje og Hornes,2013,15.0,Båt,Kalksteinmel,10217,6514845,87182,58.577,7.89311
221,Bjorvatn Fiskelag,Bjorvatn,Evje og Hornes,2015,10.0,Båt,Kalksteinmel,10217,6514845,87182,58.577,7.89311
222,Bjorvatn Fiskelag,Bjorvatn,Evje og Hornes,2017,10.0,Båt,Kalksteinmel,10217,6514845,87182,58.577,7.89311
223,Bjorvatn Fiskelag,Bjorvatn,Evje og Hornes,2018,10.0,Båt,Kalksteinmel,10217,6514845,87182,58.577,7.89311
224,Bjorvatn Fiskelag,Bjorvatn,Evje og Hornes,2019,10.0,Båt,Kalksteinmel,10217,6514845,87182,58.577,7.89311
225,Bjorvatn Fiskelag,Bjorvatn,Evje og Hornes,2020,10.0,Båt,Kalksteinmel,10217,6514845,87182,58.577,7.89311
226,Bjorvatn Fiskelag,Bjorvatn,Evje og Hornes,2021,10.0,Båt,Kalksteinmel,10217,6514845,87182,58.577,7.89311
203,Bjorvatn Fiskelag,Bjorvatn,Evje og Hornes,2022,10.0,Båt,Kalksteinmel,10217,6514845,87182,58.577,7.89311
798,Mykland Fiskelag,Flekevatnet,Froland,2002,13.0,Båt,Kalksteinmel,10164,6513807,111121,58.5898,8.30367
799,Mykland Fiskelag,Flekevatnet,Froland,2005,17.0,Båt,Kalksteinmel,10164,6513807,111121,58.5898,8.30367
800,Mykland Fiskelag,Flekevatnet,Froland,2009,15.0,Båt,Kalksteinmel,10164,6513807,111121,58.5898,8.30367
849,Førevann Fiskelag (A-Agder),Førevatnet,Birkenes,2001,32.0,Båt,Kalksteinmel,1335,6518976,99722,58.6256,8.09989
850,Førevann Fiskelag (A-Agder),Førevatnet,Birkenes,2002,30.0,Båt,Kalksteinmel,1335,6518976,99722,58.6256,8.09989
851,Førevann Fiskelag (A-Agder),Førevatnet,Birkenes,2003,30.0,Båt,Kalksteinmel,1335,6518976,99722,58.6256,8.09989
852,Førevann Fiskelag (A-Agder),Førevatnet,Birkenes,2004,29.0,Båt,Kalksteinmel,1335,6518976,99722,58.6256,8.09989
853,Førevann Fiskelag (A-Agder),Førevatnet,Birkenes,2005,28.0,Båt,Kalksteinmel,1335,6518976,99722,58.6256,8.09989
854,Førevann Fiskelag (A-Agder),Førevatnet,Birkenes,2006,25.0,Båt,Kalksteinmel,1335,6518976,99722,58.6256,8.09989
855,Førevann Fiskelag (A-Agder),Førevatnet,Birkenes,2009,30.0,Båt,Kalksteinmel,1335,6518976,99722,58.6256,8.09989
856,Førevann Fiskelag (A-Agder),Førevatnet,Birkenes,2010,35.0,Båt,Kalksteinmel,1335,6518976,99722,58.6256,8.09989
857,Førevann Fiskelag (A-Agder),Førevatnet,Birkenes,2011,25.0,Båt,Kalksteinmel,1335,6518976,99722,58.6256,8.09989
858,Førevann Fiskelag (A-Agder),Førevatnet,Birkenes,2012,35.0,Båt,Kalksteinmel,1335,6518976,99722,58.6256,8.09989
