Dybde (m),Oppholdstid (år),Produkt,Faktor (-)
15,0.5,Visnes Filterkalk Kat3,1.003
15,0.7,Visnes Filterkalk Kat3,0.985
15,1.0,Visnes Filterkalk Kat3,0.974
15,1.5,Visnes Filterkalk Kat3,0.966
15,2.0,Visnes Filterkalk Kat3,0.962
20,0.3,Visnes Filterkalk Kat3,1.091
20,0.5,Visnes Filterkalk Kat3,1.004
20,0.7,Visnes Filterkalk Kat3,0.983
20,1.0,Visnes Filterkalk Kat3,0.969
20,1.5,Visnes Filterkalk Kat3,0.959
20,2.0,Visnes Filterkalk Kat3,0.955
5,0.3,Visnes Filterkalk Kat4,0.958
5,0.5,Visnes Filterkalk Kat4,1.006
5,0.7,Visnes Filterkalk Kat4,1.037
5,1.0,Visnes Filterkalk Kat4,1.058
5,1.5,Visnes Filterkalk Kat4,1.075
5,2.0,Visnes Filterkalk Kat4,1.083
10,0.3,Visnes Filterkalk Kat4,0.945
10,0.5,Visnes Filterkalk Kat4,1.004
10,0.7,Visnes Filterkalk Kat4,1.042
10,1.0,Visnes Filterkalk Kat4,1.069
10,1.5,Visnes Filterkalk Kat4,1.09
10,2.0,Visnes Filterkalk Kat4,1.099
15,0.3,Visnes Filterkalk Kat4,0.945
15,0.5,Visnes Filterkalk Kat4,1.004
15,0.7,Visnes Filterkalk Kat4,1.042
15,1.0,Visnes Filterkalk Kat4,1.07
15,1.5,Visnes Filterkalk Kat4,1.09
15,2.0,Visnes Filterkalk Kat4,1.099
20,0.3,Visnes Filterkalk Kat4,0.953
20,0.5,Visnes Filterkalk Kat4,1.005
20,0.7,Visnes Filterkalk Kat4,1.039
20,1.0,Visnes Filterkalk Kat4,1.064
20,1.5,Visnes Filterkalk Kat4,1.081
20,2.0,Visnes Filterkalk Kat4,1.09
